route_long_name,total_stop_events,total_trips,unique_stops_served,pct_after_midnight
Orange Line,20331,966,46,5.74
Camp Bowie,16462,343,94,0.04
8th Ave/Mccart,12997,255,100,0.0
Miller/E Seminary,12300,246,99,0.0
Hemphill,11528,339,66,0.0
East Rosedale,11123,208,105,0.0
Evans/TCC South,9843,245,82,0.0
Spur/East Lancaster,8917,343,50,0.0
Berry Street,6682,167,77,0.0
Boca Raton,5898,157,73,0.0
Blue Line,5382,414,12,0.0
Hulen,5040,96,103,0.0
North Side Station/Normandale,4845,114,83,0.0
Riverside/Sierra Vista,4818,119,79,0.0
Jacksboro Highway,4597,174,51,0.0
Handley,4335,107,78,0.0
Meadowbrook,4019,103,76,0.0
Bryant Irvin,3608,88,79,0.0
Felix/Oak Grove,2928,96,58,0.0
Alliance Center/Merchantile Center,2912,108,52,0.0
University,2814,84,65,0.0
Hemphill/Sycamore School Road,2419,82,57,0.0
W Seminary/Hulen Mall,2397,94,49,0.0
N. Beach/Mercantile Center  Station,2185,115,36,0.0
TRE Link,2005,335,10,0.0
TEXRail,1911,222,9,2.04
Cowtown Visitor Shuttle: Arlington Entertainment,1230,305,6,0.0
Centreport Circulator,718,86,21,0.0
Blue Route,630,30,18,0.0
Grapevine Merlot Route,448,28,14,0.0
Cowtown Visitor Shuttle: Fort Worth Shopping,423,171,3,0.0
Cowtown Visitor Shuttle: FWZoo/Gardens,357,102,5,0.0
North Park & Ride Express,330,44,14,0.0
Grapevine Green Route,261,29,8,0.0
Juror Shuttle,245,98,3,0.0
Normandal Express,165,6,50,0.0
Burnett Plaza Lunch Line,72,12,5,0.0
South Park & Ride Express,50,11,12,0.0
