service_id,date,exception_type
145.171.3,20260524,1
145.0.3,20260525,1
145.0.1,20260525,2
145.105.1,20260526,1
145.171.1,20260526,1
145.105.1,20260527,1
145.171.1,20260527,1
145.105.1,20260528,1
145.171.1,20260528,1
145.105.1,20260529,1
145.171.1,20260529,1
145.171.2,20260530,1
145.171.3,20260531,1
145.105.1,20260601,1
145.171.1,20260601,1
145.105.1,20260602,1
145.171.1,20260602,1
145.105.1,20260603,1
145.171.1,20260603,1
145.105.1,20260604,1
145.171.1,20260604,1
145.105.1,20260605,1
145.171.1,20260605,1
145.171.2,20260606,1
145.173.3,20260607,1
145.105.1,20260608,1
145.173.1,20260608,1
145.105.1,20260609,1
145.173.1,20260609,1
145.105.1,20260610,1
145.173.1,20260610,1
145.105.1,20260611,1
145.173.1,20260611,1
145.105.1,20260612,1
145.173.1,20260612,1
145.173.2,20260613,1
145.173.3,20260614,1
145.105.1,20260615,1
145.173.1,20260615,1
145.177.1,20260615,1
145.105.1,20260616,1
145.173.1,20260616,1
145.177.1,20260616,1
145.105.1,20260617,1
145.173.1,20260617,1
145.105.1,20260618,1
145.173.1,20260618,1
145.177.1,20260618,1
145.169.3,20260619,1
145.0.3,20260619,1
145.0.1,20260619,2
145.171.3,20260619,1
145.173.2,20260620,1
145.173.3,20260621,1
145.105.1,20260622,1
145.173.1,20260622,1
145.105.1,20260623,1
145.173.1,20260623,1
145.105.1,20260624,1
145.173.1,20260624,1
145.105.1,20260625,1
145.173.1,20260625,1
145.105.1,20260626,1
145.173.1,20260626,1
145.177.1,20260626,1
145.173.2,20260627,1
145.173.3,20260628,1
145.105.1,20260629,1
145.173.1,20260629,1
145.105.1,20260630,1
145.173.1,20260630,1
145.173.1,20260701,1
145.173.1,20260702,1
145.173.1,20260703,1
145.177.1,20260703,1
145.0.3,20260704,1
145.0.2,20260704,2
145.173.3,20260705,1
145.173.1,20260706,1
145.173.1,20260707,1
145.173.1,20260708,1
145.173.1,20260709,1
145.173.1,20260710,1
145.177.1,20260710,1
145.173.2,20260711,1
145.173.3,20260712,1
145.173.1,20260713,1
145.173.1,20260714,1
145.173.1,20260715,1
145.173.1,20260716,1
145.173.1,20260717,1
145.177.1,20260717,1
145.173.2,20260718,1
145.171.3,20260719,1
145.171.1,20260720,1
145.171.1,20260721,1
145.171.1,20260722,1
145.171.1,20260723,1
145.171.1,20260724,1
145.171.2,20260725,1
145.171.3,20260726,1
145.171.1,20260727,1
145.171.1,20260728,1
145.171.1,20260729,1
145.171.1,20260730,1
145.171.1,20260731,1
145.171.2,20260801,1
145.171.3,20260802,1
145.171.1,20260803,1
145.171.1,20260804,1
145.171.1,20260805,1
145.171.1,20260806,1
145.171.1,20260807,1
145.171.2,20260808,1
145.171.3,20260809,1
145.171.1,20260810,1
145.171.1,20260811,1
145.171.1,20260812,1
145.171.1,20260813,1
145.171.1,20260814,1
145.171.2,20260815,1
145.171.3,20260816,1
145.171.1,20260817,1
145.171.1,20260818,1
145.171.1,20260819,1
145.171.1,20260820,1
145.171.1,20260821,1
145.171.2,20260822,1
145.171.3,20260823,1
145.171.1,20260824,1
145.171.1,20260825,1
145.171.1,20260826,1
145.171.1,20260827,1
145.171.1,20260828,1
145.171.2,20260829,1
145.171.3,20260830,1
145.171.1,20260831,1
145.171.1,20260901,1
145.171.1,20260902,1
145.171.1,20260903,1
145.171.1,20260904,1
145.171.2,20260905,1
145.171.3,20260906,1
145.0.3,20260907,1
145.0.1,20260907,2
145.173.3,20260704,1
145.171.1,20260908,1
145.171.1,20260909,1
145.171.1,20260910,1
145.171.1,20260911,1
145.171.2,20260912,1
145.171.3,20260913,1
145.171.1,20260914,1
145.171.1,20260915,1
145.171.1,20260916,1
145.171.1,20260917,1
145.171.1,20260918,1
145.171.2,20260919,1
145.171.3,20260920,1
145.171.1,20260921,1
145.171.1,20260922,1
145.171.1,20260923,1
145.171.1,20260924,1
145.171.1,20260925,1
145.171.2,20260926,1
148.0.2,20260614,1
148.185.2,20260614,1
148.185.1,20260617,1
148.185.1,20260622,1
148.185.1,20260625,1
148.0.2,20260627,1
148.185.2,20260627,1
148.185.1,20260630,1
148.185.1,20260703,1
148.185.1,20260706,1
148.185.1,20260714,1
148.0.2,20260621,1
148.0.2,20260628,1
148.0.2,20260705,1
148.0.2,20260712,1
145C.173.3,20260614,2
145C.173.1,20260617,2
145C.173.1,20260622,2
145C.173.1,20260625,2
145C.173.2,20260627,2
145C.173.1,20260630,2
145C.173.1,20260703,2
145C.173.1,20260706,2
145C.173.1,20260714,2
145C.177.1,20260703,2
