route_id,route_abbr,direction_id,direction
8266,001,0,TO DOWNTOWN
8266,001,1,FROM DOWNTOWN
8267,002,0,TO DOWNTOWN
8267,002,1,FROM DOWNTOWN
8268,004,0,EASTBOUND
8268,004,1,WESTBOUND
8269,005,0,TO DOWNTOWN
8269,005,1,FROM DOWNTOWN
8270,006,0,TO DOWNTOWN
8270,006,1,FROM DOWNTOWN
8271,011,0,TO DOWNTOWN
8271,011,1,FROM DOWNTOWN
8272,015,0,TO DOWNTOWN
8272,015,1,FROM DOWNTOWN
8273,016,0,NORTHBOUND
8273,016,1,SOUTHBOUND
8274,019,0,CIRCULATOR
8275,021,0,TO ESTC
8275,021,1,FROM ESTC
8276,022,0,TO ESTC
8276,022,1,FROM ESTC
8277,024,0,EASTBOUND
8277,024,1,WESTBOUND
8278,025,0,EASTBOUND
8278,025,1,WESTBOUND
8279,029,0,EASTBOUND
8279,029,1,WESTBOUND
8280,030,0,WEST & AMON
8280,030,1,EAST LOOP
8281,031,0,NORTHBOUND
8281,031,1,SOUTHBOUND
8282,033,0,EASTBOUND
8282,033,1,WESTBOUND
8283,046,0,TO DOWNTOWN
8283,046,1,FROM DOWNTOWN
8284,051,0,NORTHBOUND
8284,051,1,SOUTHBOUND
8285,052,0,NORTHBOUND
8285,052,1,SOUTHBOUND
8286,053,0,NORTHBOUND
8286,053,1,SOUTHBOUND
8287,054,0,NORTHBOUND
8287,054,1,SOUTHBOUND
8288,055,0,NORTHBOUND
8288,055,1,SOUTHBOUND
8312,061,0,TO DOWNTOWN
8312,061,1,FROM DOWNTOWN
8290,063,0,TO DOWNTOWN
8290,063,1,FROM DOWNTOWN
8291,065,0,TO DOWNTOWN
8291,065,1,FROM DOWNTOWN
8292,072,0,TO LAGRAN PLZ
8292,072,1,FROM LAGRAN PLZ
8293,089,0,TO DOWNTOWN
8293,089,1,FROM DOWNTOWN
8294,091,0,EASTBOUND
8294,091,1,WESTBOUND
8295,113,0,CIRCULATOR
8299,991,0,TO LAGRAVE
8299,991,1,FROM LAGRAVE
8300,BLUE,0,CIRCULATOR
8406,CVSA,0,WESBOUND
8406,CVSA,1,EASTBOUND
8408,CVSS,0,INBOUND
8408,CVSS,1,OUTBOUND
8407,CVSZ,0,WESBOUND
8407,CVSZ,1,EASBOUND
8303,GREEN,0,CIRCULATOR
8304,MERLOT,0,CIRCULATOR
8305,TEXRAIL,0,EASTBOUND
8305,TEXRAIL,1,WESTBOUND
8409,BHub,0,NORTHBOUND
8409,BHub,1,SOUTHBOUND
