leg_group_id,network_id,fare_product_id,rule_priority
default,TM,local_single_ride,1
default,TM,local_multi_ride_1_day,2
default,TM,local_multi_ride_7_day,3
default,TM,regional_multi_ride_1_day,4
default,TM,local_reduced_single_ride,1
default,TM,local_reduced_multi_ride_1_day,2
default,TM,local_reduced_multi_ride_7_day,3
default,TM_cEMV,local_single_ride,1
default,TM_cEMV,local_multi_ride_1_day,2
Free,TM_Free,complimentary,1
Grapevine,GP,complimentary,1
default,TM,regional_reduced_multi_ride_1_day,1
default,TM,regional_reduced_multi_ride_monthly,2
