from_stop_id,to_stop_id,transfer_type,min_transfer_time
1498,1499,2,7200
3479,1201,2,25200
682,2171,2,7200
2171,682,2,7200
468,505,2,7200
505,468,2,7200
1495,418,2,7200
2043,1029,2,7200
1029,2043,2,7200
1988,418,2,7200
418,1988,2,7200
418,1495,2,7200
705,735,2,7200
18,28,2,7200
28,18,2,7200
1863,1862,2,7200
1862,1863,2,7200
411,1162,2,7200
1162,411,2,7200
1877,1865,2,7200
1878,1864,2,7200
1865,1877,2,7200
1864,1878,2,7200
1030,1423,2,7200
1499,1498,2,7200
3117,3188,2,7200
3188,3117,2,7200
3796,641,2,7200
641,3796,2,7200
735,705,2,7200
1835,408,2,7200
3823,1563,2,7200
3823,1388,2,7200
1563,3823,2,7200
1388,3823,2,7200
1563,3828,2,7200
1388,3828,2,7200
3828,1563,2,7200
3828,1388,2,7200
989,1007,2,7200
989,837,2,7200
1007,989,2,7200
1000,1067,2,7200
1067,1000,2,7200
3412,1038,2,7200
1028,1103,2,7200
3828,3823,2,7200
3823,3828,2,7200
3189,3171,2,7200
3171,3189,2,7200
1176,3761,2,7200
1176,2053,2,7200
509,3643,2,7200
3643,496,2,7200
3624,3167,2,7200
3167,3624,2,7200
3425,3508,2,7200
3119,3129,2,7200
3129,3119,2,7200
964,989,2,7200
837,989,2,7200
989,964,2,7200
1287,1284,2,7200
1284,1287,2,7200
875,933,2,7200
933,875,2,7200
385,1031,2,7200
1031,385,2,7200
949,853,2,7200
853,949,2,7200
425,1766,2,7200
1766,425,2,7200
1318,1355,2,7200
601,658,2,7200
658,601,2,7200
2367,339,2,7200
339,2367,2,7200
933,1411,2,7200
875,1411,2,7200
875,1394,2,7200
933,1394,2,7200
3263,3264,2,7200
3264,3263,2,7200
1092,4336,2,7200
1092,4335,2,7200
2032,4335,2,7200
2032,4336,2,7200
4307,3646,2,7200
1022,2780,2,7200
1411,875,2,7200
1394,875,2,7200
1394,933,2,7200
1411,933,2,7200
557,595,2,7200
595,557,2,7200
1355,1318,2,7200
1049,1081,2,14400
1081,1049,2,14400
3473,3542,2,7200
3542,3473,2,7200
3438,3477,2,14400
3477,3438,2,14400
2815,1186,2,7200
1186,2815,2,7200
1423,1030,2,7200
797,787,2,7200
801,780,2,7200
781,1779,2,7200
4017,1103,2,7200
16,6,2,7200
6,16,2,7200
3887,661,2,7200
3148,3147,2,7200
787,797,2,7200
780,801,2,7200
1779,781,2,7200
1103,4017,2,7200
4074,1285,0,
3147,3148,2,7200
3959,3215,2,7200
1878,406,2,18000
406,1878,2,18000
4050,532,2,7200
532,4050,2,7200
3136,3317,2,14400
3317,3136,2,14400
1201,3479,2,25200
3265,564,2,7200
564,3265,2,7200
1859,393,2,7200
743,758,2,7200
758,743,2,7200
3862,1435,2,14400
1435,3862,2,14400
3076,579,2,7200
4283,579,2,7200
579,3076,2,7200
4283,3076,2,7200
579,4283,2,7200
3076,4283,2,7200
3958,4277,2,14400
4277,3958,2,14400
445,451,2,7200
451,445,2,7200
3380,4001,2,25200
1132,1138,2,7200
1138,1132,2,7200
1388,1563,2,7200
1563,1388,2,7200
1522,1523,2,7200
1523,1522,2,7200
1070,4284,2,7200
2027,4284,2,7200
4284,1070,2,7200
1025,2,2,7200
1237,1025,2,7200
2,1025,2,7200
1237,1018,2,7200
2,1018,2,7200
1018,1237,2,7200
1025,1237,2,7200
1018,2,2,7200
2,1237,2,7200
1983,3167,2,7200
913,3235,2,7200
3235,913,2,7200
3519,3966,2,25200
3966,3519,2,25200
4151,4166,0,
3686,131,2,7200
131,3686,2,7200
1411,1394,2,7200
1394,1411,2,7200
4167,4159,0,
4167,4152,0,
4152,4167,0,
4159,4167,0,
4166,4161,0,
4166,4151,0,
4161,4166,0,
496,3643,2,7200
4162,4166,0,
4166,4162,0,
